True Term Num,Extracted Term Num,TP,Cut Off,Too Long,Split Term,expected,extracted
1,1,1,0,0,1,Compatibility graph,compatibility graph
1,1,1,0,0,1,Strong compatibility graph,strong compatibility graph
2,2,2,0,0,2,good pair;bad pair,good pair###bad pair
1,1,1,0,0,1,multiplicative,multiplicative
2,2,1,0,1,2,ergodic;limit shape,ergodic###limit shape of partitions
2,2,1,0,2,2,simplicial map;nondegenerate,simplicial map###nondegenerate simplicial map
4,4,3,0,1,4,filling diagram;minimal;nondegenerate;locally k-large,filling diagram for γ###minimal###nondegenerate###locally k-large
1,1,1,0,0,1,t-uniform,t-uniform
1,5,0,0,1,1,planar,triangulation###planar double edge###face###edge###double edge
1,1,0,0,1,1,nearly orthogonal array,"nearly orthogonal array NOA(n,d)"
1,1,0,0,1,1,exceptional,exceptional interval-poset
1,1,1,0,0,1,new,new
1,1,1,0,0,1,new,new
1,3,0,0,1,1,Composition tableau,semistandard composition tableau (SSCT)###standard (an SCT)###attacks
1,1,1,0,0,1,Skew quasisymmetric Schur functions,skew quasisymmetric Schur functions
1,4,0,0,1,1,C-equivalence,C-equivalent ### C-equivalence class ### rectified shape ### complete
3,4,3,0,0,3,descent Pieri operator;descent set;descent composition,"descent Pieri operator###descent set###descent composition###K_[x,y]"
1,5,0,1,0,0,γ covers β,composition poset###covers###partial order###transitive closure###cover relations
2,2,2,0,0,2,vertical strip;horizontal strip,Vertical strip###Horizontal strip
3,3,1,3,1,1,attacks;semistandard composition tableau T  (SSCT) of shape γβ;standard,Composition tableau###semistandard composition tableau###standard
3,2,1,0,0,1,C-equivalent;rectified shape;rectified shape;complete,C-equivalence###complete
1,1,1,0,0,1,rigidly related,rigidly related
2,2,1,0,1,2,dotted composition tableau;quasisymmetric Schur function in noncommuting variables,quasisymmetric Schur function in noncommuting variables _α###dotted composition tableau
2,2,1,0,1,2,half-pairing;through strings,non-crossing half-pairing ### through strings
3,4,0,0,3,1,out;not;out;in,orientation###singleton###non-crossing half-pairing###cyclic intervals
1,1,0,0,1,1,standard,standard cyclic reduction
